mood,feature,max,min,mean,median
aggressive,intensity,-13.159182848524479,-91.26706604261832,-40.271716882208466,-38.74241311545862
aggressive,pitch,1.0,0.022205015600659527,0.45930958651865944,0.4402888050247432
aggressive,timbre,177.21974215495456,-658.2729366972144,-7.261277787260068,0.01062734658134805
aggressive,frame_time,0.6849886621315191,0.034829931972789115,0.45218161683277963,0.45278911564625846
sad,intensity,-6.838404789284521,-107.55148353126681,-50.58855359089892,-49.55018132995731
sad,pitch,1.0,0.0130826356312189,0.35851291729398427,0.2882212479513335
sad,timbre,254.42257436386834,-815.935287334189,-10.73652949746885,-0.0051058240953843325
sad,frame_time,0.7314285714285715,0.034829931972789115,0.4620983352690671,0.4643990929705222
calm,intensity,-8.153620245334775,-104.21053645868221,-47.848318840324865,-46.73576043777806
calm,pitch,1.0,0.014625042366313873,0.39965136920142064,0.35631769559698234
calm,timbre,260.38332040073044,-808.9583247880962,-9.824036903120769,0.01050739052379256
calm,frame_time,0.754648526077097,0.023219954648526078,0.46806349206349207,0.4643990929705216
happy,intensity,-7.828602411821449,-98.14046754026599,-39.66466148614439,-39.03416880911985
happy,pitch,1.0,0.04147373647349815,0.46538188737415037,0.4317776840165113
happy,timbre,185.5401852146836,-578.2559669229257,-7.544291358609581,0.006659382681321687
happy,frame_time,0.6153287981859412,0.034829931972789115,0.45771254442560216,0.47600907029478456
