song,mood,max_intensity,min_intensity,mean_intensity,median_intensity,max_pitch,min_pitch,mean_pitch,median_pitch,max_timbre,min_timbre,mean_timbre,median_timbre,max_time,min_time,mean_time,median_time
aggressive.26,aggressive,-14.667919917705497,-80.90939001475839,-38.419802635449386,-36.853654177984005,1.0,0.1157046766273615,0.48945878202904797,0.43620907774288215,199.7710435523468,-731.1777198817912,-7.946742702398995,0.007545136156390327,0.5108390022675737,0.16253968253968254,0.44452140452140454,0.452789115646258
aggressive.27,aggressive,-23.47239586076756,-84.1317536502402,-44.24858927086485,-43.47272462535204,1.0,0.1370664240093878,0.535835207593271,0.529190301593162,180.5926937773342,-620.6384883798171,-9.929637062501888,0.0004612275493445445,0.5804988662131514,0.34829931972789113,0.4527891156462585,0.45278911564625846
aggressive.28,aggressive,-30.719315809671407,-74.62045448775109,-51.238884743963915,-51.04907001212296,1.0,0.048751858440875144,0.47908380420512553,0.46831769537663137,167.486059931224,-658.0352927583035,-9.99241924873923,0.02223302952533858,0.6153287981859412,0.22058956916099773,0.5865360544217687,0.5921088435374151
aggressive.29,aggressive,-21.611379799259705,-62.33918274047886,-40.967107889928,-40.77640725083731,1.0,0.16041062724248176,0.5781120093840602,0.5607032865162698,183.503120241855,-622.2246529358493,-8.524729251567791,0.006286974080728997,0.6385487528344669,0.16253968253968254,0.6018233143597576,0.6153287981859403
aggressive.30,aggressive,-21.200550410942142,-89.67641852806537,-46.54270757640458,-45.637240999525304,1.0,0.04449399605689129,0.568088251290183,0.5747132183983739,170.73591733731092,-659.627627873391,-10.318517369352973,0.01929351707136491,0.5456689342403642,0.046439909297052155,0.42923263991586974,0.42956916099773235
aggressive.31,aggressive,-20.524524085838085,-73.17983173837014,-44.53805438881493,-44.49886392436615,1.0,0.08244611507991532,0.5503038427290063,0.5337526189772134,186.87366534617294,-665.5666301255923,-9.43238612777582,0.01973057043444013,0.47600907029478456,0.16253968253968254,0.42940090045680107,0.4411791383219956
aggressive.32,aggressive,-16.429702980585468,-79.66966308404841,-36.880204669556456,-35.69264417875867,1.0,0.2345095765590704,0.6334596535658363,0.6292030629490482,211.60873001125847,-494.0425230921776,-7.600472248189259,0.00021213292281656212,0.5340589569161001,0.13931972789115646,0.47638358569234146,0.4876190476190452
aggressive.33,aggressive,-19.637084179909788,-54.42261096522865,-33.088379327624295,-32.55864038519652,1.0,0.2987675274263293,0.6278831659315932,0.6186650876435495,197.8055248419269,-493.71937539129493,-6.874938556077438,0.007173887472237217,0.5921088435374156,0.16253968253968254,0.5473889308809944,0.5572789115646257
aggressive.34,aggressive,-16.985922383114037,-72.98314991888928,-35.56871089298034,-33.40478892684811,1.0,0.18019116039911126,0.5798456356659383,0.559252631276081,242.0050489653924,-472.08712411384215,-6.757061290719815,0.007980748822109687,0.6617687074829934,0.29024943310657597,0.5766288737717309,0.5921088435374156
aggressive.35,aggressive,-18.418009465596175,-70.16701229196593,-34.50403093235965,-33.19735492907462,1.0,0.23117211149292793,0.5980653695002066,0.5800150210209153,192.3924365265762,-648.6180341326442,-7.184832383336605,0.004324461956599552,0.6849886621315164,0.046439909297052155,0.5370142238713668,0.5456689342403624
